1 0 6580
2 6580 8158
3 14738 3654
4 18392 4977
5 23369 3451
6 26820 1869
7 28689 984
8 29673 1403
9 31076 1150
10 32226 2092
11 34318 1292
12 35610 1731
13 37341 1795
14 39136 2175
15 41311 1797
16 43108 7648
17 50756 18300
18 69056 3854
19 72910 4386
20 77296 3333
21 80629 3542
22 84171 10434
23 94605 4058
24 98663 1212
25 99875 875
26 100750 1487
27 102237 954
28 103191 1962
29 105153 4421
30 109574 1625
31 111199 6231
32 117430 7633
33 125063 1976
34 127039 3992
35 131031 2656
36 133687 4754
37 138441 8741
38 147182 4942
39 152124 7970
40 160094 4780
41 164874 9992
42 174866 2171
43 177037 1594
44 178631 2066
46 180697 2420
47 183117 2884
48 186001 2566
49 188567 13297
50 201864 2467
51 204331 2202
52 206533 2498
53 209031 3052
55 212083 10096
56 222179 9576
57 231755 4698
58 236453 6996
59 243449 3632
60 247081 3405
61 250486 2843
62 253329 5874
63 259203 3080
64 262283 5825
65 268108 4769
66 272877 13641
67 286518 3821
68 290339 2960
69 293299 1578
70 294877 8075
71 302952 5670
72 308622 12463
73 321085 3812
74 324897 2165
75 327062 5464
76 332526 5834
77 338360 7918
78 346278 10133
79 356411 3575
80 359986 3379
81 363365 2175
82 365540 297
83 365837 3774
84 369611 1985
85 371596 1456
86 373052 7369
87 380421 1017
88 381438 941
89 382379 1602
90 383981 3269
91 387250 1822
92 389072 4022
93 393094 2161
94 395255 4012
95 399267 1382
96 400649 4917
97 405566 2599
98 408165 1750
99 409915 1973
100 411888 1483
105 413371 4099
106 417470 12663
107 430133 16845
108 446978 12208
109 459186 22481
110 481667 43475
112 525142 15776
113 540918 28268
114 569186 12321
117 581507 3898
119 585405 33587
120 618992 2382
121 621374 2265
122 623639 15040
123 638679 10933
124 649612 7804
125 657416 9417
126 666833 2465
127 669298 6056
128 675354 8331
130 683685 14023
131 697708 13302
132 711010 28272
134 739282 15757
136 755039 13718
138 768757 25058
139 793815 351
141 794166 30112
142 824278 6905
143 831183 22030
144 853213 4181
145 857394 5553
146 862947 3444
147 866391 4287
148 870678 4069
149 874747 6562
150 881309 3798
151 885107 5524
152 890631 3417
153 894048 4497
155 898545 2848
156 901393 16259
157 917652 4095
158 921747 12970
159 934717 16836
160 951553 12327
161 963880 22418
164 986298 94225
165 1080523 28288
167 1108811 14111
168 1122922 13195
169 1136117 28298
171 1164415 25063
173 1189478 29992
174 1219470 28271
179 1247741 3696
180 1251437 10040
181 1261477 16857
182 1278334 12215
183 1290549 17162
184 1307711 42218
187 1349929 28268
189 1378197 298
190 1378495 318
192 1378813 14051
193 1392864 13334
195 1406198 271
196 1406469 307
197 1406776 1724
200 1408500 28271
202 1436771 10168
204 1446939 55704
205 1502643 10352
206 1512995 5383
207 1518378 8887
208 1527265 7645
209 1534910 6473
211 1541383 94247
215 1635630 5496
216 1641126 5361
217 1646487 6888
219 1653375 6917
223 1660292 11852
225 1672144 5307
226 1677451 6598
227 1684049 3925
228 1687974 6324
229 1694298 5015
230 1699313 6896
231 1706209 4226
232 1710435 8213
233 1718648 5030
234 1723678 4533
237 1728211 3166
238 1731377 7976
239 1739353 3773
240 1743126 5432
241 1748558 10478
242 1759036 7477
243 1766513 8413
244 1774926 24881
246 1799807 15686
249 1815493 5523
250 1821016 5222
251 1826238 3509
252 1829747 6911
253 1836658 3502
254 1840160 2963
255 1843123 3608
258 1846731 15070
260 1861801 11897
261 1873698 6904
262 1880602 13916
263 1894518 14221
265 1908739 5037
270 1913776 3689
271 1917465 5321
272 1922786 10068
273 1932854 7558
274 1940412 8556
275 1948968 16968
277 1965936 15694
280 1981630 5524
282 1987154 5541
283 1992695 5251
284 1997946 6895
288 2004841 11841
289 2016682 6860
294 2023542 3806
295 2027348 5315
296 2032663 10048
297 2042711 7513
298 2050224 8404
299 2058628 17206
301 2075834 15724
304 2091558 5640
305 2097198 5315
306 2102513 6904
310 2109417 16370
312 2125787 6873
314 2132660 11837
328 2144497 15774
330 2160271 3395
332 2163666 3647
333 2167313 5452
334 2172765 10055
335 2182820 7560
336 2190380 8438
337 2198818 23795
339 2222613 5582
340 2228195 5250
342 2233445 6993
345 2240438 11917
355 2252355 3632
356 2255987 5317
357 2261304 10043
358 2271347 7528
359 2278875 8277
360 2287152 17693
362 2304845 15763
363 2320608 6860
365 2327468 5617
366 2333085 5211
371 2338296 8953
376 2347249 3182
381 2350431 3653
382 2354084 5539
383 2359623 10136
384 2369759 7429
385 2377188 8291
386 2385479 17196
389 2402675 15762
390 2418437 9206
393 2427643 5599
394 2433242 5259
397 2438501 6860
401 2445361 6860
403 2452221 9403
408 2461624 5876
409 2467500 6215
410 2473715 3865
411 2477580 7682
412 2485262 4733
413 2489995 4485
414 2494480 3617
415 2498097 7424
416 2505521 5065
417 2510586 5073
420 2515659 3415
422 2519074 3836
423 2522910 5691
424 2528601 10043
425 2538644 7577
426 2546221 8342
427 2554563 24692
429 2579255 15765
431 2595020 5902
432 2600922 10625
434 2611547 7091
436 2618638 5641
437 2624279 5266
438 2629545 3660
441 2633205 9917
449 2643122 3588
450 2646710 5574
451 2652284 10079
452 2662363 7616
453 2669979 8338
454 2678317 17567
456 2695884 15852
460 2711736 5665
461 2717401 5340
467 2722741 9141
469 2731882 11900
473 2743782 4243
475 2748025 15831
480 2763856 6164
481 2770020 5817
482 2775837 10673
484 2786510 3542
485 2790052 5506
486 2795558 10084
488 2805642 8303
489 2813945 16865
492 2830810 5647
493 2836457 5287
494 2841744 7190
496 2848934 17239
497 2866173 14981
499 2881154 3301
501 2884455 6574
503 2891029 10089
509 2901118 5707
510 2906825 4312
511 2911137 3291
512 2914428 6026
513 2920454 4808
514 2925262 4306
515 2929568 3934
516 2933502 5459
517 2938961 4737
518 2943698 5726
521 2949424 8062
522 2957486 2746
523 2960232 3366
524 2963598 5742
525 2969340 10095
527 2979435 8460
528 2987895 22802
530 3010697 15788
533 3026485 5598
534 3032083 5145
538 3037228 10339
540 3047567 11802
542 3059369 15246
548 3074615 2560
549 3077175 4826
550 3082001 9232
551 3091233 6935
552 3098168 7747
553 3105915 16343
555 3122258 15680
557 3137938 3061
559 3140999 5515
560 3146514 5347
567 3151861 57119
568 3208980 7162
570 3216142 15836
572 3231978 5801
575 3237779 5067
576 3242846 5028
579 3247874 13166
581 3261040 10376
583 3271416 3493
589 3274909 3226
590 3278135 6819
591 3284954 3336
592 3288290 4797
593 3293087 5742
594 3298829 7620
595 3306449 7843
596 3314292 5373
597 3319665 7490
598 3327155 4503
599 3331658 3532
600 3335190 4462
601 3339652 3989
602 3343641 3991
603 3347632 4216
604 3351848 16817
605 3368665 2019
607 3370684 14336
608 3385020 8863
609 3393883 8070
610 3401953 4801
611 3406754 11418
612 3418172 3398
613 3421570 4997
614 3426567 4577
625 3431144 24360
626 3455504 2027
627 3457531 4962
628 3462493 4944
629 3467437 5047
630 3472484 4184
631 3476668 3981
632 3480649 3339
633 3483988 23990
636 3507978 5344
637 3513322 15728
639 3529050 1870
640 3530920 5102
641 3536022 5645
642 3541667 3251
643 3544918 6451
644 3551369 7340
655 3558709 34045
656 3592754 1952
657 3594706 4430
658 3599136 5770
659 3604906 4158
660 3609064 2259
661 3611323 21467
662 3632790 5174
663 3637964 4792
664 3642756 4374
665 3647130 2199
666 3649329 4526
667 3653855 4291
668 3658146 5636
669 3663782 4329
670 3668111 22541
671 3690652 4702
672 3695354 3916
673 3699270 5087
674 3704357 2134
675 3706491 4577
676 3711068 5411
677 3716479 5540
678 3722019 3129
